Student_ID,Name,Gender,District,Schooling_Type,Internet_Access,Parental_Education_Level,Scholarship_Status,Extracurricular_Participation,Residence_Type,School_Medium,Education_System,Transport_Mode,Attendance_Percentage,Study_Hours_per_Week,CGPA,Assignment_Average,Quiz_Average,Mid_Marks,Final_Marks,Final_Exam_Status,Submission_Date
292,Fatima Chaudhry,Female,Multan,Public,No,Uneducated,Yes,None,Urban,English Medium,Federal Board,Public Transport,69,5,3.6,82.94,44.78,52,50,Fail,2024-02-10
293,Amna Shah,Female,Lahore,Public,No,Masters,Yes,Sports,Rural,Urdu Medium,Punjab Board,Walking,71,12,2.94,63.13,71.11,60,51,Fail,2023-09-13
294,Iqra Shah,Female,Sialkot,Private,No,Primary,No,Arts Society,Urban,English Medium,Sindh Board,School Bus,56,26,3.07,74.34,81.62,54,51,Pass,2025-02-05
295,Ahmed Khan,Male,Multan,Public,No,Primary,Yes,Debate Club,Rural,English Medium,Federal Board,Public Transport,95,30,2.49,92.57,46.91,64,41,Pass,2024-11-21
296,Zainab Butt,Female,Quetta,Private,No,Matric,No,Arts Society,Urban,English Medium,Punjab Board,Walking,66,12,2.77,77.47,56.98,52,62,Fail,2024-03-03
297,Usman Khan,Male,Faisalabad,Private,Yes,Primary,Yes,Arts Society,Rural,English Medium,Punjab Board,Own Vehicle,98,26,2.89,47.15,71.84,89,97,Pass,2025-02-25
298,Mehak Awan,Female,Karachi,Private,Yes,Intermediate,Yes,Arts Society,Urban,Urdu Medium,Sindh Board,Own Vehicle,65,19,2.41,81.13,54.02,54,72,Pass,2023-10-28
299,Rehan Khan,Male,Lahore,Public,No,Uneducated,Yes,Volunteer Work,Urban,English Medium,Federal Board,Walking,86,27,3.2,83.42,51.18,64,95,Pass,2025-08-21
300,Adnan Butt,Male,Islamabad,Private,Yes,Bachelors,Yes,Sports,Rural,Urdu Medium,Federal Board,School Bus,88,12,2.99,74.39,42.39,65,68,Fail,2023-09-14
301,Zainab Butt,Female,Sialkot,Private,Yes,Intermediate,Yes,Arts Society,Urban,Urdu Medium,Cambridge System,Public Transport,86,9,3.0,88.99,84.26,43,49,Pass,2025-01-13
302,Adnan Malik,Male,Karachi,Madrasa,Yes,Masters,Yes,Multiple Activities,Rural,English Medium,Federal Board,Walking,86,16,2.5,84.99,52.29,87,74,Pass,2024-08-12
303,Nimra Malik,Female,Faisalabad,Private,Yes,Matric,Yes,None,Rural,English Medium,Punjab Board,School Bus,63,25,2.31,49.49,82.01,74,99,Pass,2023-03-01
304,Saad Iqbal,Male,Rawalpindi,Private,No,Intermediate,No,None,Urban,Urdu Medium,Cambridge System,Own Vehicle,57,5,2.78,80.93,71.5,97,79,Fail,2023-07-13
305,Sana Butt,Female,Faisalabad,Home Schooling,No,Matric,Yes,Multiple Activities,Rural,Urdu Medium,Cambridge System,School Bus,64,7,2.3,85.08,72.09,43,95,Fail,2025-06-04
306,Kiran Raza,Female,Gujranwala,Public,No,PhD,No,Debate Club,Urban,English Medium,Punjab Board,School Bus,75,27,2.1,92.75,73.38,60,47,Pass,2024-02-15
307,Noor Malik,Female,Peshawar,Home Schooling,No,Bachelors,No,Debate Club,Rural,English Medium,Cambridge System,Walking,89,29,3.93,72.66,69.1,76,86,Fail,2025-07-19
308,Noor Malik,Female,Rawalpindi,Private,Yes,Uneducated,No,Multiple Activities,Urban,English Medium,Cambridge System,Public Transport,73,3,2.89,69.53,56.67,67,89,Pass,2025-09-06
309,Mehak Sheikh,Female,Islamabad,Home Schooling,No,PhD,No,Multiple Activities,Urban,English Medium,Sindh Board,School Bus,73,14,2.7,49.29,51.3,100,95,Fail,2024-02-16
310,Zeeshan Awan,Male,Multan,Private,No,Uneducated,Yes,Arts Society,Urban,Urdu Medium,Cambridge System,Own Vehicle,79,24,3.36,59.91,42.26,47,55,Fail,2023-08-15
311,Usman Malik,Male,Sialkot,Home Schooling,No,Masters,No,Multiple Activities,Rural,Urdu Medium,Sindh Board,Public Transport,67,21,3.98,84.57,69.91,90,66,Fail,2023-09-20
312,Adeel Shah,Male,Quetta,Home Schooling,No,Primary,No,Sports,Urban,Urdu Medium,Cambridge System,Public Transport,85,24,2.23,80.25,44.93,88,75,Pass,2025-05-21
313,Maha Iqbal,Female,Peshawar,Madrasa,Yes,Primary,Yes,None,Rural,Urdu Medium,Sindh Board,Own Vehicle,59,5,2.18,71.01,63.51,81,65,Pass,2023-06-15
314,Noor Chaudhry,Female,Quetta,Private,Yes,Uneducated,No,Multiple Activities,Urban,Urdu Medium,Federal Board,Walking,100,19,2.64,94.56,64.23,55,79,Fail,2025-11-29
315,Ali Butt,Male,Karachi,Public,Yes,Primary,No,None,Rural,Urdu Medium,Punjab Board,Own Vehicle,67,27,2.16,54.46,61.31,80,47,Pass,2023-09-27
316,Zainab Raza,Female,Karachi,Private,Yes,Primary,Yes,Multiple Activities,Rural,English Medium,Cambridge System,School Bus,79,8,3.94,87.77,57.45,40,83,Pass,2024-07-11
317,Farhan Khan,Male,Peshawar,Public,No,Bachelors,Yes,Multiple Activities,Rural,Urdu Medium,Punjab Board,Own Vehicle,73,16,3.52,94.68,52.93,93,55,Pass,2024-09-07
318,Maha Butt,Female,Faisalabad,Public,Yes,Matric,No,Sports,Rural,Urdu Medium,Punjab Board,Walking,68,14,3.44,50.22,56.26,40,91,Fail,2023-06-13
319,Usman Chaudhry,Male,Gujranwala,Home Schooling,Yes,Primary,Yes,None,Urban,Urdu Medium,Federal Board,School Bus,80,9,2.83,81.74,78.64,84,62,Fail,2024-04-23
320,Nimra Chaudhry,Female,Faisalabad,Home Schooling,No,Primary,No,Volunteer Work,Urban,English Medium,Punjab Board,Walking,62,22,3.54,74.53,56.17,49,57,Pass,2024-12-27
321,Iqra Chaudhry,Female,Gujranwala,Public,No,PhD,Yes,Debate Club,Rural,English Medium,Sindh Board,Own Vehicle,89,8,2.5,85.0,50.31,57,53,Fail,2025-02-13
322,Sara Qureshi,Female,Peshawar,Private,Yes,Masters,No,Multiple Activities,Urban,English Medium,Federal Board,Own Vehicle,67,30,3.27,88.29,58.98,71,57,Pass,2023-07-14
323,Sana Raza,Female,Islamabad,Private,Yes,Masters,Yes,Debate Club,Urban,Urdu Medium,Federal Board,School Bus,57,3,2.78,52.63,84.91,80,88,Pass,2025-01-31
324,Imran Awan,Male,Multan,Public,No,Bachelors,No,Sports,Urban,English Medium,Cambridge System,School Bus,73,6,3.86,64.63,48.13,100,43,Fail,2023-09-14
325,Imran Butt,Male,Gujranwala,Madrasa,No,PhD,No,Debate Club,Urban,Urdu Medium,Cambridge System,Public Transport,79,12,3.16,59.27,40.39,97,87,Pass,2025-02-11
326,Ayesha Butt,Female,Lahore,Madrasa,Yes,Matric,Yes,Arts Society,Urban,Urdu Medium,Punjab Board,School Bus,67,6,3.05,88.52,81.71,56,91,Pass,2025-02-20
327,Laiba Malik,Female,Gujranwala,Madrasa,No,PhD,Yes,Debate Club,Rural,English Medium,Cambridge System,Walking,95,27,3.08,58.1,53.79,52,74,Fail,2024-08-31
328,Nimra Malik,Female,Faisalabad,Madrasa,Yes,Masters,Yes,Arts Society,Rural,English Medium,Federal Board,Walking,79,24,2.62,82.51,71.55,65,71,Pass,2025-11-05
329,Maryam Sheikh,Female,Gujranwala,Madrasa,No,Masters,Yes,Arts Society,Rural,English Medium,Cambridge System,Public Transport,68,17,3.82,55.85,49.62,77,48,Fail,2024-10-28
330,Laiba Malik,Female,Islamabad,Private,Yes,Bachelors,Yes,Multiple Activities,Urban,English Medium,Cambridge System,Walking,58,21,3.45,67.39,42.2,95,89,Pass,2024-10-16
331,Nimra Iqbal,Female,Multan,Madrasa,No,Primary,Yes,Sports,Rural,Urdu Medium,Sindh Board,Walking,90,8,2.59,89.39,59.0,70,70,Pass,2024-02-18
332,Saad Qureshi,Male,Gujranwala,Public,No,Matric,No,Debate Club,Urban,English Medium,Cambridge System,Own Vehicle,74,10,3.35,94.62,46.67,59,44,Fail,2025-01-11
333,Ali Chaudhry,Male,Quetta,Madrasa,Yes,Primary,No,Volunteer Work,Urban,Urdu Medium,Federal Board,Public Transport,85,25,3.91,94.44,68.83,99,79,Fail,2025-11-28
334,Maryam Raza,Female,Multan,Private,No,Intermediate,Yes,Debate Club,Rural,Urdu Medium,Sindh Board,Public Transport,77,30,2.73,61.42,64.07,82,98,Fail,2024-06-17
335,Amna Sheikh,Female,Islamabad,Home Schooling,Yes,Uneducated,No,None,Rural,English Medium,Punjab Board,Own Vehicle,78,13,3.45,60.61,50.87,64,41,Fail,2025-08-14
336,Sana Raza,Female,Peshawar,Public,Yes,Uneducated,No,Volunteer Work,Rural,English Medium,Sindh Board,Walking,62,21,2.28,66.4,50.33,68,63,Pass,2023-06-06
337,Alina Iqbal,Female,Sialkot,Private,Yes,Masters,No,Sports,Urban,Urdu Medium,Cambridge System,Public Transport,65,7,3.13,92.11,72.44,57,81,Pass,2024-03-16
338,Iqra Malik,Female,Faisalabad,Private,No,Masters,Yes,Sports,Rural,Urdu Medium,Cambridge System,School Bus,89,21,3.85,49.87,43.89,84,84,Fail,2023-11-14
339,Maha Raza,Female,Rawalpindi,Public,Yes,Bachelors,No,Volunteer Work,Rural,Urdu Medium,Federal Board,School Bus,64,8,2.9,82.28,64.4,43,78,Fail,2024-01-08
340,Iqra Qureshi,Female,Quetta,Public,No,Intermediate,Yes,None,Urban,English Medium,Sindh Board,Walking,95,18,3.74,45.35,62.41,56,100,Pass,2023-04-25
341,Bushra Raza,Female,Multan,Home Schooling,No,Matric,No,Volunteer Work,Urban,English Medium,Punjab Board,Own Vehicle,76,24,2.11,89.4,64.11,49,49,Pass,2024-06-20
342,Sara Raza,Female,Quetta,Madrasa,No,Intermediate,No,Debate Club,Rural,English Medium,Cambridge System,School Bus,65,18,2.12,77.82,50.8,44,41,Pass,2023-10-12
343,Kiran Butt,Female,Faisalabad,Public,No,Matric,Yes,Arts Society,Rural,English Medium,Punjab Board,Walking,78,22,2.96,76.46,40.8,56,72,Fail,2025-07-05
344,Sana Iqbal,Female,Sialkot,Public,No,Masters,No,Debate Club,Urban,Urdu Medium,Sindh Board,Public Transport,89,27,3.35,84.73,62.43,86,49,Pass,2025-09-19
345,Kiran Shah,Female,Sialkot,Private,Yes,Primary,No,None,Rural,Urdu Medium,Sindh Board,Walking,94,22,3.92,48.43,51.45,86,88,Pass,2025-02-21
346,Fatima Awan,Female,Sialkot,Home Schooling,No,Uneducated,No,Debate Club,Rural,English Medium,Cambridge System,School Bus,98,19,3.12,84.76,77.98,70,74,Pass,2024-01-15
347,Mehak Iqbal,Female,Rawalpindi,Private,Yes,Masters,No,Multiple Activities,Rural,Urdu Medium,Cambridge System,Walking,60,21,2.49,75.77,70.27,69,68,Pass,2024-03-04
348,Noor Malik,Female,Lahore,Madrasa,Yes,Masters,No,Multiple Activities,Urban,Urdu Medium,Sindh Board,Walking,93,16,3.68,84.96,50.07,64,94,Fail,2025-06-02
349,Usman Raza,Male,Sialkot,Private,No,Bachelors,Yes,Volunteer Work,Rural,English Medium,Cambridge System,Walking,81,27,2.69,60.41,67.46,88,68,Pass,2023-11-23
350,Zainab Iqbal,Female,Sialkot,Public,Yes,Matric,No,Volunteer Work,Urban,Urdu Medium,Punjab Board,Public Transport,55,29,3.26,92.66,73.91,63,77,Pass,2025-04-04
351,Hira Butt,Female,Quetta,Home Schooling,Yes,Primary,Yes,Multiple Activities,Urban,English Medium,Federal Board,Own Vehicle,89,20,3.65,45.67,67.58,79,47,Fail,2023-09-22
352,Hassan Shah,Male,Gujranwala,Home Schooling,Yes,Primary,No,Multiple Activities,Rural,Urdu Medium,Punjab Board,School Bus,83,4,3.01,59.28,71.47,96,70,Fail,2023-05-05
353,Maha Qureshi,Female,Faisalabad,Public,Yes,Primary,No,Volunteer Work,Urban,Urdu Medium,Sindh Board,School Bus,77,23,3.18,80.16,64.73,66,93,Pass,2025-02-28
354,Ali Khan,Male,Islamabad,Private,No,Intermediate,Yes,None,Rural,Urdu Medium,Sindh Board,Public Transport,88,15,2.79,82.95,85.51,85,75,Fail,2024-10-10
355,Hamza Raza,Male,Islamabad,Private,No,Matric,Yes,Debate Club,Urban,Urdu Medium,Cambridge System,Walking,72,8,2.91,61.64,49.11,63,48,Pass,2024-04-10
356,Hamza Sheikh,Male,Rawalpindi,Private,No,Masters,No,None,Urban,English Medium,Punjab Board,Walking,73,13,3.72,63.76,79.79,84,43,Pass,2025-02-28
357,Adnan Iqbal,Male,Peshawar,Public,No,Intermediate,No,Debate Club,Urban,Urdu Medium,Cambridge System,Public Transport,62,25,2.86,75.39,85.97,52,45,Pass,2024-06-17
358,Adnan Malik,Male,Rawalpindi,Private,No,PhD,Yes,Volunteer Work,Rural,Urdu Medium,Federal Board,Walking,97,18,2.79,67.45,42.52,60,70,Pass,2024-11-06
359,Kamran Awan,Male,Multan,Home Schooling,Yes,Masters,No,Debate Club,Urban,Urdu Medium,Sindh Board,Walking,56,21,3.01,67.49,45.7,54,94,Pass,2023-06-19
360,Bushra Shah,Female,Peshawar,Private,No,Masters,Yes,Sports,Rural,Urdu Medium,Sindh Board,Walking,55,11,2.86,86.54,59.26,58,96,Fail,2023-06-30
361,Kamran Chaudhry,Male,Faisalabad,Madrasa,No,Masters,No,Volunteer Work,Urban,Urdu Medium,Punjab Board,Walking,57,14,3.9,71.69,59.45,66,65,Pass,2023-01-22
362,Kamran Malik,Male,Islamabad,Home Schooling,No,Primary,Yes,Arts Society,Urban,English Medium,Federal Board,Public Transport,94,17,3.14,67.74,68.17,41,85,Pass,2024-11-09
363,Nimra Raza,Female,Gujranwala,Home Schooling,No,Matric,Yes,Debate Club,Urban,Urdu Medium,Federal Board,Public Transport,61,14,3.67,70.9,47.06,70,92,Fail,2023-12-24
364,Sana Iqbal,Female,Lahore,Public,No,Masters,No,Debate Club,Urban,English Medium,Sindh Board,Own Vehicle,100,15,2.63,90.43,51.72,94,42,Pass,2023-03-06
365,Maha Butt,Female,Karachi,Home Schooling,No,PhD,Yes,None,Rural,English Medium,Punjab Board,Public Transport,75,16,3.7,88.96,59.71,78,94,Pass,2023-11-27
366,Adnan Malik,Male,Multan,Madrasa,Yes,Uneducated,Yes,Debate Club,Urban,Urdu Medium,Federal Board,School Bus,90,14,2.28,74.67,57.33,82,83,Fail,2024-10-20
367,Sana Awan,Female,Sialkot,Madrasa,Yes,Bachelors,Yes,None,Urban,English Medium,Punjab Board,School Bus,93,5,2.28,91.39,82.98,42,79,Fail,2024-09-08
368,Fatima Chaudhry,Female,Quetta,Public,Yes,Uneducated,No,Sports,Urban,English Medium,Sindh Board,Walking,88,3,3.71,61.54,82.48,85,42,Pass,2023-05-01
369,Amna Khan,Female,Lahore,Madrasa,No,PhD,Yes,None,Urban,Urdu Medium,Punjab Board,Walking,96,4,3.41,69.78,62.17,68,77,Fail,2024-03-10
370,Maryam Sheikh,Female,Faisalabad,Public,Yes,Intermediate,Yes,Volunteer Work,Rural,English Medium,Federal Board,Own Vehicle,81,9,2.97,51.19,84.69,76,98,Pass,2023-10-27
371,Danish Khan,Male,Lahore,Home Schooling,Yes,Intermediate,Yes,Sports,Rural,English Medium,Punjab Board,Own Vehicle,77,24,4.0,75.18,43.04,57,66,Pass,2025-05-10
372,Taha Iqbal,Male,Rawalpindi,Home Schooling,Yes,Masters,No,Volunteer Work,Urban,Urdu Medium,Federal Board,Own Vehicle,78,10,2.32,66.75,80.48,57,75,Fail,2025-08-13
373,Zain Awan,Male,Sialkot,Public,Yes,PhD,Yes,Sports,Rural,Urdu Medium,Sindh Board,Public Transport,90,15,2.82,49.3,88.6,76,99,Fail,2024-03-07
374,Ali Khan,Male,Gujranwala,Madrasa,Yes,Intermediate,No,Volunteer Work,Urban,English Medium,Sindh Board,Walking,87,27,2.23,81.11,57.2,79,97,Fail,2023-12-10
375,Bushra Malik,Female,Lahore,Public,No,Bachelors,Yes,Sports,Urban,Urdu Medium,Cambridge System,School Bus,80,5,2.41,79.04,41.25,43,57,Pass,2025-01-13
376,Rehan Malik,Male,Rawalpindi,Private,Yes,Primary,No,Debate Club,Rural,English Medium,Sindh Board,Own Vehicle,67,12,2.2,73.62,43.42,56,94,Fail,2025-09-25
377,Alina Iqbal,Female,Karachi,Private,Yes,Primary,Yes,Debate Club,Rural,Urdu Medium,Cambridge System,Public Transport,78,18,3.07,53.02,60.61,95,55,Pass,2023-09-19
378,Alina Qureshi,Female,Peshawar,Madrasa,Yes,PhD,Yes,Debate Club,Rural,Urdu Medium,Federal Board,Public Transport,80,23,3.86,66.75,89.79,60,74,Pass,2025-08-06
379,Hamza Qureshi,Male,Gujranwala,Public,No,Matric,Yes,Multiple Activities,Rural,Urdu Medium,Sindh Board,Own Vehicle,79,3,3.25,73.92,84.25,92,60,Fail,2023-01-04
380,Noor Shah,Female,Faisalabad,Madrasa,No,Masters,No,None,Rural,English Medium,Cambridge System,Walking,100,26,2.23,93.53,61.57,85,66,Fail,2023-08-01
381,Laiba Shah,Female,Multan,Madrasa,Yes,Bachelors,No,Arts Society,Urban,Urdu Medium,Cambridge System,Public Transport,80,25,2.33,59.34,79.39,41,56,Fail,2023-06-23
382,Alina Iqbal,Female,Faisalabad,Public,Yes,Intermediate,Yes,Multiple Activities,Rural,Urdu Medium,Sindh Board,Own Vehicle,69,24,2.36,71.38,49.58,57,54,Fail,2025-07-30
383,Rehan Shah,Male,Islamabad,Home Schooling,Yes,Masters,Yes,Arts Society,Rural,Urdu Medium,Federal Board,Public Transport,55,24,2.32,84.32,59.92,73,85,Pass,2023-05-25
384,Laiba Iqbal,Female,Rawalpindi,Madrasa,Yes,PhD,No,Debate Club,Urban,English Medium,Sindh Board,Public Transport,70,15,2.43,62.93,49.37,88,91,Fail,2023-01-11
385,Rabia Chaudhry,Female,Karachi,Public,No,Primary,Yes,Multiple Activities,Rural,Urdu Medium,Federal Board,Own Vehicle,57,27,2.4,54.68,68.02,52,41,Pass,2024-09-28
386,Bilal Chaudhry,Male,Peshawar,Private,Yes,Masters,No,Volunteer Work,Urban,English Medium,Punjab Board,Walking,67,3,2.84,82.07,53.21,43,54,Fail,2024-09-03
387,Amna Raza,Female,Quetta,Madrasa,No,Masters,Yes,Multiple Activities,Rural,English Medium,Federal Board,Walking,83,24,3.52,78.93,45.63,94,90,Pass,2024-02-26
388,Talha Awan,Male,Gujranwala,Private,Yes,PhD,No,Arts Society,Urban,English Medium,Sindh Board,Own Vehicle,57,13,3.48,77.99,62.39,94,95,Fail,2024-05-06
389,Sara Malik,Female,Quetta,Private,No,Masters,Yes,Multiple Activities,Urban,Urdu Medium,Punjab Board,School Bus,69,9,3.33,70.86,68.6,78,62,Pass,2023-07-18
390,Farhan Malik,Male,Peshawar,Home Schooling,No,Intermediate,Yes,Arts Society,Rural,Urdu Medium,Cambridge System,Own Vehicle,68,6,3.96,75.82,53.47,64,94,Fail,2025-07-03
391,Fatima Sheikh,Female,Lahore,Home Schooling,No,Intermediate,No,Volunteer Work,Rural,English Medium,Sindh Board,Walking,62,6,2.82,67.88,68.2,47,47,Pass,2024-07-04
392,Rehan Raza,Male,Sialkot,Home Schooling,Yes,Matric,Yes,Sports,Rural,English Medium,Sindh Board,Public Transport,71,28,3.47,84.56,83.79,55,54,Fail,2024-04-01
393,Fatima Shah,Female,Rawalpindi,Private,Yes,Intermediate,No,Arts Society,Rural,English Medium,Cambridge System,Public Transport,73,20,2.64,67.23,61.22,57,86,Pass,2024-04-27
394,Sana Qureshi,Female,Lahore,Home Schooling,No,Uneducated,No,None,Urban,English Medium,Cambridge System,Walking,69,14,3.38,47.83,57.66,50,45,Fail,2024-09-19
395,Ali Khan,Male,Sialkot,Private,Yes,PhD,No,Arts Society,Urban,English Medium,Federal Board,Walking,60,15,2.69,52.29,76.71,76,83,Pass,2023-09-10
396,Sana Malik,Female,Quetta,Home Schooling,Yes,Bachelors,Yes,None,Urban,Urdu Medium,Cambridge System,Walking,56,7,3.34,64.36,68.3,92,86,Fail,2024-11-12
397,Amna Chaudhry,Female,Lahore,Madrasa,Yes,Masters,No,Sports,Rural,Urdu Medium,Punjab Board,Public Transport,68,25,2.33,64.88,81.33,74,48,Pass,2023-04-11
398,Omer Chaudhry,Male,Karachi,Home Schooling,No,Uneducated,Yes,Arts Society,Urban,English Medium,Punjab Board,Public Transport,73,25,3.14,58.14,88.94,46,58,Pass,2023-07-24
399,Shayan Butt,Male,Lahore,Home Schooling,No,Masters,Yes,Debate Club,Rural,Urdu Medium,Sindh Board,Public Transport,97,6,2.24,80.33,87.78,55,55,Fail,2023-03-22
400,Zain Raza,Male,Peshawar,Private,Yes,Matric,Yes,Debate Club,Urban,Urdu Medium,Federal Board,School Bus,99,28,3.71,51.74,53.72,43,48,Fail,2025-08-04
401,Sana Sheikh,Female,Lahore,Madrasa,No,Intermediate,Yes,Multiple Activities,Urban,English Medium,Cambridge System,School Bus,89,24,2.23,87.82,48.87,62,49,Pass,2025-01-15
402,Hamza Raza,Male,Lahore,Madrasa,No,PhD,Yes,Volunteer Work,Urban,Urdu Medium,Sindh Board,Walking,68,19,2.8,67.42,88.77,74,45,Pass,2025-09-09
403,Talha Iqbal,Male,Karachi,Public,No,Primary,Yes,Arts Society,Urban,English Medium,Federal Board,Public Transport,62,19,3.71,66.32,84.58,72,59,Fail,2023-11-12
404,Adeel Sheikh,Male,Lahore,Home Schooling,Yes,Intermediate,No,Debate Club,Rural,English Medium,Cambridge System,Public Transport,63,18,3.01,67.05,41.65,64,62,Fail,2024-02-21
405,Maryam Iqbal,Female,Gujranwala,Home Schooling,Yes,Intermediate,Yes,Debate Club,Urban,English Medium,Sindh Board,Public Transport,91,23,3.16,45.98,55.35,82,41,Fail,2025-01-16
406,Ayesha Shah,Female,Islamabad,Private,Yes,Bachelors,Yes,Volunteer Work,Urban,Urdu Medium,Federal Board,Public Transport,59,18,3.78,57.75,65.09,81,48,Pass,2023-12-31
407,Fatima Awan,Female,Peshawar,Home Schooling,No,Matric,Yes,None,Rural,English Medium,Federal Board,Own Vehicle,85,25,3.34,82.57,56.79,80,50,Pass,2023-02-15
408,Iqra Raza,Female,Peshawar,Private,Yes,Masters,Yes,Volunteer Work,Urban,English Medium,Federal Board,Public Transport,87,30,2.11,63.14,61.98,97,55,Fail,2023-08-08
409,Farhan Khan,Male,Peshawar,Private,No,Primary,Yes,Arts Society,Rural,Urdu Medium,Federal Board,Public Transport,96,11,3.73,54.7,46.28,78,47,Pass,2024-05-29
410,Nimra Iqbal,Female,Quetta,Private,Yes,Bachelors,No,Debate Club,Rural,English Medium,Federal Board,Walking,88,27,2.21,68.52,89.88,40,88,Fail,2023-04-24
411,Shayan Raza,Male,Islamabad,Private,No,Bachelors,Yes,Volunteer Work,Rural,Urdu Medium,Cambridge System,Public Transport,94,27,2.26,76.12,67.16,62,75,Fail,2024-12-06
412,Alina Butt,Female,Quetta,Private,Yes,Intermediate,Yes,Debate Club,Urban,Urdu Medium,Punjab Board,Own Vehicle,96,23,2.69,73.95,68.98,96,44,Pass,2023-06-09
413,Maryam Chaudhry,Female,Multan,Public,No,Primary,Yes,Arts Society,Rural,Urdu Medium,Sindh Board,Own Vehicle,58,20,3.11,59.06,54.07,71,77,Pass,2024-03-03
414,Bushra Chaudhry,Female,Lahore,Madrasa,No,Matric,No,Arts Society,Urban,Urdu Medium,Sindh Board,School Bus,71,16,2.75,56.81,52.81,68,44,Pass,2025-02-04
415,Rabia Iqbal,Female,Quetta,Public,Yes,Uneducated,Yes,Multiple Activities,Urban,Urdu Medium,Federal Board,Public Transport,70,11,2.54,77.15,59.14,65,45,Fail,2024-03-27
416,Laiba Raza,Female,Quetta,Home Schooling,No,Primary,Yes,Debate Club,Rural,English Medium,Cambridge System,Walking,80,3,2.49,54.69,44.6,47,86,Pass,2024-01-10
417,Kamran Qureshi,Male,Sialkot,Private,No,Uneducated,No,Multiple Activities,Urban,Urdu Medium,Cambridge System,Public Transport,97,2,3.93,45.69,51.54,79,40,Pass,2025-01-23
418,Bushra Raza,Female,Lahore,Public,Yes,Intermediate,Yes,Multiple Activities,Urban,Urdu Medium,Cambridge System,Own Vehicle,99,10,2.51,81.84,56.07,73,67,Fail,2023-03-17
419,Noor Sheikh,Female,Peshawar,Public,Yes,Matric,No,Multiple Activities,Urban,English Medium,Cambridge System,Public Transport,100,20,2.4,82.01,79.89,85,54,Pass,2024-12-31
420,Taha Khan,Male,Islamabad,Madrasa,No,Primary,No,Multiple Activities,Rural,English Medium,Cambridge System,School Bus,70,5,2.5,46.04,57.51,96,59,Fail,2023-01-27
421,Sana Iqbal,Female,Karachi,Home Schooling,No,Masters,No,Arts Society,Rural,English Medium,Federal Board,Own Vehicle,98,6,2.5,59.47,44.74,44,88,Fail,2023-04-17
422,Hira Shah,Female,Karachi,Private,Yes,Primary,Yes,Debate Club,Rural,English Medium,Sindh Board,Own Vehicle,72,3,2.81,65.74,89.44,66,61,Pass,2025-08-29
423,Adnan Raza,Male,Karachi,Private,No,Intermediate,No,Arts Society,Urban,Urdu Medium,Federal Board,School Bus,74,6,3.63,84.66,58.06,100,43,Fail,2024-04-27
424,Adeel Raza,Male,Multan,Home Schooling,No,Bachelors,No,Debate Club,Urban,English Medium,Sindh Board,School Bus,91,29,3.68,56.29,69.19,68,75,Pass,2025-03-24
425,Kiran Iqbal,Female,Rawalpindi,Madrasa,Yes,Bachelors,Yes,Multiple Activities,Urban,Urdu Medium,Punjab Board,Own Vehicle,100,19,2.64,80.38,44.86,58,55,Pass,2023-02-01
426,Sana Shah,Female,Sialkot,Private,No,Intermediate,No,Volunteer Work,Urban,Urdu Medium,Sindh Board,School Bus,58,30,3.36,46.18,78.58,82,78,Fail,2023-04-26
427,Omer Raza,Male,Islamabad,Madrasa,No,Intermediate,No,Sports,Rural,English Medium,Federal Board,Public Transport,72,8,3.42,93.85,58.73,62,94,Pass,2025-07-19
428,Sana Chaudhry,Female,Peshawar,Private,Yes,PhD,Yes,Debate Club,Rural,English Medium,Punjab Board,Own Vehicle,74,11,3.73,77.05,79.05,49,42,Pass,2024-07-14
429,Hassan Qureshi,Male,Peshawar,Private,Yes,Matric,No,None,Urban,English Medium,Sindh Board,Walking,60,11,2.11,92.83,54.75,77,63,Pass,2024-01-10
430,Adnan Khan,Male,Faisalabad,Public,Yes,PhD,Yes,Debate Club,Urban,English Medium,Punjab Board,School Bus,65,30,2.79,55.79,79.01,73,49,Pass,2024-08-08
431,Bushra Awan,Female,Multan,Private,Yes,PhD,Yes,Arts Society,Rural,Urdu Medium,Cambridge System,Public Transport,56,16,3.08,60.96,77.86,76,77,Pass,2023-06-24
432,Rabia Malik,Female,Sialkot,Madrasa,Yes,Masters,Yes,Debate Club,Rural,Urdu Medium,Punjab Board,School Bus,92,8,3.17,73.79,68.61,64,94,Fail,2024-05-30
433,Zeeshan Sheikh,Male,Rawalpindi,Public,No,Bachelors,Yes,Debate Club,Rural,Urdu Medium,Cambridge System,Walking,55,18,2.59,65.89,61.36,70,79,Pass,2025-04-13
434,Noor Sheikh,Female,Rawalpindi,Private,Yes,Bachelors,Yes,Arts Society,Urban,Urdu Medium,Federal Board,Public Transport,94,3,2.11,66.1,40.42,95,40,Pass,2025-08-02
435,Sara Sheikh,Female,Islamabad,Public,Yes,Intermediate,Yes,Arts Society,Urban,English Medium,Punjab Board,Own Vehicle,63,18,3.48,51.55,74.45,82,83,Pass,2023-02-17
436,Sara Raza,Female,Karachi,Home Schooling,No,PhD,Yes,Arts Society,Urban,English Medium,Federal Board,Walking,88,22,2.33,59.18,41.12,44,86,Fail,2023-06-26
437,Sana Sheikh,Female,Islamabad,Madrasa,Yes,PhD,No,Debate Club,Urban,English Medium,Cambridge System,School Bus,89,6,3.55,52.48,51.83,95,69,Fail,2023-08-19
